Country,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland,Nova Scotia,Nunavut,Northwest Territories,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
United Arab Emirates,1609524958,261237956,68073966,75380300,6704317,2127857,5549366,47872,29789,561177774,824791,313431405,314939565,0
Australia,1562170682,206537082,281545040,75945651,8288411,5801635,17000640,243652,47421,530230790,20269184,356985299,59267281,8596
Switzerland,1370711386,77570961,19593554,5545518,757706,55,3389319,129595,0,1059353006,5402036,197156672,1807207,5757
Russia,1236720619,260386446,55861412,142853396,4796013,39026037,14067645,56205,600,236750768,2763860,465221375,14826968,109894
Saudi Arabia,1213058235,208039882,54832012,49136693,6324160,702848,1278559,54557,0,575444802,533847,240028366,76682509,0
Singapore,1201374152,149858380,69903456,78213177,1001932,1458955,17649327,157269,94327,537426486,6000581,315441980,24142933,25349
Taiwan,1083216652,166947425,371325285,93926800,1790598,9517667,16537587,1409434,0,261411866,6161323,137546019,16642648,0
Turkey,929633217,38012938,18769125,40220506,82096457,0,18255188,657248,0,116888736,141515,302818525,311764979,8000
Colombia,912955777,184122112,46205400,77660362,45629686,36776,2388270,16904,0,181485036,0,138731097,236552705,127429
Malta,835368551,320933,1294643,540302,1673,187936,3544,0,0,2739804,14498,829733007,532211,0
Chile,830840154,136179735,87873287,30441940,1366613,100070,5822726,46512,21228,204823718,3667965,290957034,69539326,0
Peru,789296389,152173201,71806520,74487924,11440018,1295864,1288282,11727,0,125566188,76902,123351791,227797972,0
Spain,754075719,38259741,28273689,16121784,4437896,1052517,15121950,12538,9103,259305217,2748906,314622470,74109658,250
Malaysia,740812483,69565593,80663457,11691346,3578837,1551760,5298828,314710,0,231072161,2018774,87637548,247419469,0
Bangladesh,707481098,113497085,7160744,58070427,2331196,0,2051733,0,0,61302323,0,50567517,412500073,0
Thailand,702191831,60495085,102720391,19290484,48397403,6055602,6660109,71917,12600,185609715,5311436,170879801,96687288,0
Venezuela,637968077,170004407,9136325,55422532,2090197,783207,732586,0,0,46425888,2964453,94170498,256237984,0
Botswana,596830879,62908,902531,0,0,0,0,718,260209354,334821545,0,821475,12348,0
Nigeria,525342374,118581182,6293498,44434107,512519,1027144,4545149,0,0,163771804,950088,73375324,111851559,0
Vietnam,472123406,34150401,106746493,6410622,7132415,54119203,29262797,425229,0,120546783,5237609,39297977,68793877,0
Egypt,453505470,28902236,5199785,32929728,40309197,302671,1013760,0,3348,113271352,700792,146341855,84508313,22433
Algeria,450905933,53225108,1214265,2793005,0,70067,50622,0,0,13127041,1355,56944641,323479829,0
Philippines,446635540,40429027,118091553,40765370,238247,105184,1829885,26558,0,113430772,1683300,75469767,54565877,0
Cuba,442970393,84523313,28249732,13839795,29591868,702,16297148,132639,0,108792527,18903,78795870,82727839,57
Israel,432995929,10954764,9527081,16416933,927608,113277,31652529,13677,65100,120729494,3554824,221122436,17918206,0
South Africa,427590809,27941982,67028823,16893417,1225488,1334879,3558359,11733,5728,169170270,9844184,94303294,36258252,14400
Ireland,426321329,34270717,18496577,19129044,1585131,4645879,920632,22161,0,251666129,4547551,86739838,4297670,0
Finland,402056164,18575218,28852817,7319101,1013131,1976539,551565,0,0,111675126,410870,230939928,741869,0
Morocco,393966671,40412637,1374239,2636454,54091,4501260,4020322,372,0,12822282,819548,62823771,264501695,0
New Zealand,387412376,29834404,89394392,9144849,842999,264733,1992645,14928,1147,133312720,2257267,65433752,54906001,12539
Pakistan,386113343,74246312,30894809,34526736,2498369,463253,5929026,0,0,42384261,52387,27857666,167260524,0
Sweden,361880003,47690494,26749389,8348767,15223602,4774988,10242769,7704,140511,141247346,2377365,103161274,1914096,1698
Poland,306684713,25798116,8381656,4865367,444690,3217759,3793301,16869,5528,126399816,64776,129841820,3855015,0
Iraq,280853665,118683216,3627606,32326945,1809771,329739,15000,175,0,42200711,26097,17687322,64147083,0
Austria,264731850,6715760,6936126,2539785,13839445,1249055,1173059,40160,2350,86967994,708997,142897978,1629020,32121
Sri Lanka,262275345,69968829,15645589,31631817,23355,105258,564121,0,0,15889197,0,6757847,121689332,0
Denmark,259880944,7029812,14341185,6114685,14366890,46923633,37058780,4866,612335,88297373,5421396,37086255,2622099,1635
Ecuador,248017462,53622052,10742678,26394041,5407979,119000,1276227,34661,0,38858544,0,40384580,71177700,0
Argentina,233593861,32186450,11763483,2848635,584635,102904,1150221,16468,20625,112647744,255694,47721266,24294336,1400
Sudan,230674000,79829554,1065415,42819678,0,0,0,0,0,17648807,0,5795643,83514903,0
Portugal,221286181,10420538,5872841,4928681,601809,1800497,1080057,0,0,29329562,0,138173872,29078324,0
Dominican Republic,189604993,8416061,4213741,6379249,32203345,0,2148407,7242,0,74662097,858966,50002117,10713768,0
Qatar,188924647,9605400,6985507,742312,995018,323337,274778,1070,0,52710451,5677,116924271,356826,0
Ghana,152648517,28140551,5887395,14674491,95286,216207,516293,9957,0,51543479,403922,22435657,28725279,0
Costa Rica,147118793,28847689,15334434,9670118,17032245,0,124903,14468,0,23942803,3208561,18988483,29955089,0
Kuwait,142717188,23429124,7614578,3152533,3330286,114838,371635,490,0,76090662,275709,20960211,7377122,0
Ethiopia,134616942,1028902,1066897,461059,9930,0,92678,0,0,78640714,6823,51194940,2114999,0
Czech Republic,128945326,6985145,12805283,2001664,2943751,8386415,1752005,21161,0,49924891,784445,41781599,1558967,0
Oman (formerly Muscat and Oman),128436339,60062840,4039031,6552627,352489,0,513504,0,0,34087501,0,10831817,11987281,9249
Kazakhstan,128072228,27211382,4974140,18240780,25991,111065,327606,687,0,24087468,0,51124533,1968576,0
