Industry,City,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Manufacturing,Vancouver,82.81300353,82.55705125,85.70509238,90.08732593,90.00422765,86.76100435,85.34809065,90.23614168,97.24442385,101.5699761,101.2572497,94.8286535,97.26742008,111.6525548,104.4403724,104.6685588,112.8298193,109.9296528,101.1559546,101.0439362,105.4841338,99.28452575,86.05145515,84.6551331,85.09523788,94.2972268,84.69746838,90.45735768
Education and Healthcare,Vancouver,101.3702313,108.5724748,115.9619243,118.787235,131.7868505,136.995938,137.0054283,149.5574678,152.7589838,145.2607213,151.2256788,156.8597038,162.2733368,170.1224273,167.7052495,186.1330155,181.144678,188.882938,191.5293253,202.2693833,200.489285,205.5023748,216.4462233,219.9970785,221.2985248,234.3506283,232.7527195,233.0134088
Personal Services,Vancouver,106.1262915,102.3995256,112.244201,109.0680395,108.1054289,116.9622828,122.9816838,129.9045003,136.372995,140.7106503,135.3177008,140.9522575,149.8919725,154.2013228,160.5577123,158.145585,161.2678413,163.9859075,163.3111898,163.4693148,165.4832865,166.992737,169.915318,178.741688,182.179335,192.3845033,173.9853558,186.339826
Primary and Utilities,Vancouver,18.95558535,17.65726295,19.8448708,23.68774345,26.39033913,20.22818913,22.68416163,20.91462255,20.94157795,21.03772378,23.29041163,23.56084843,19.04689848,20.381606,17.79869083,17.83921173,21.82974335,19.98387235,24.13601465,21.4230889,21.58508215,20.67827018,19.21864133,21.11564105,21.998212,19.70467908,22.90408695,24.13014265
Public Administration and Defence,Vancouver,35.6698009,36.98800928,37.50224155,40.15108765,41.73272508,43.01052035,46.74354538,44.5152067,40.40255843,49.76803445,39.52509288,41.92351675,38.84834145,42.06600525,41.81782098,42.48443215,49.77313625,47.32046908,44.55647175,42.20957565,43.9201432,44.038941,48.00754613,47.63383783,51.0234655,47.45858965,45.61946965,51.1491529
Services Producing Industries,Vancouver,584.0380388,609.023143,637.2700355,644.988075,661.1506063,694.5199933,704.0711003,724.0521343,746.1919813,762.4954458,782.7286168,794.0217145,825.9674688,847.2018305,861.0374663,882.551069,900.6059433,899.9233605,922.4442155,943.3240293,962.9079963,969.9048038,981.5703095,1001.850266,1015.66867,1032.750838,1036.240375,1057.711253
All Industries,Vancouver,726.7767873,757.6889248,798.2431218,823.3878798,835.6097663,856.7642275,864.8619893,903.6153085,927.198368,945.0165863,966.4815975,971.439333,996.2011033,1032.389595,1037.44556,1063.097413,1090.91432,1102.275278,1126.437473,1147.949063,1180.14894,1193.261418,1186.075353,1200.520798,1224.394873,1247.066228,1247.73238,1276.462183
Transportation and Warehousing,Vancouver,52.30529225,49.55393855,52.35098833,55.44001388,58.2462346,61.92732943,56.763689,51.81616478,55.8870606,58.1432701,69.36935013,62.4347086,70.91788055,73.414802,67.05580515,66.21857123,66.42997758,63.8184632,68.32182308,65.12440878,72.77903085,70.201584,65.7036022,67.18658398,69.47737053,78.70491683,74.9231371,82.77245415
Wholesale and Retail Trade,Vancouver,131.6184695,138.825023,145.338708,144.735986,141.1148145,151.3299525,146.2645793,143.7577028,153.7834185,151.6815388,161.0971323,157.0171013,164.5062903,156.4873,165.549005,171.8149338,181.8453503,168.7558753,179.9030695,185.3864723,183.5458378,183.7397493,193.89998,199.1672388,194.930513,189.1842248,203.284569,199.631771
Business Services,Victoria,8.093745945,9.768585658,9.70055735,11.81149113,11.42426171,10.9790312,11.4487651,11.98317373,15.16910725,11.05144358,14.34540833,14.80095165,18.08028218,18.82938458,18.17282138,17.837698,18.60921548,18.39008063,19.66925868,21.77491203,21.4885745,24.8926462,22.92343088,23.87001358,24.52921725,24.90860945,25.99917418,22.8410644
Construction,Victoria,5.991146325,8.207966693,10.862258,7.276079755,7.96610003,9.283786913,9.16796669,8.173239463,8.903946658,7.999336955,9.409722053,9.28743717,9.588962088,8.323794343,7.97954674,8.0923682,10.06255323,8.699562883,12.1185306,14.4710068,15.06232298,13.78114438,14.05030278,13.94848373,11.76326421,13.07264503,13.11857883,12.13614395
"Finance, Insurance and Real Estate",Victoria,7.510820728,8.099825258,8.136946298,8.20551209,8.832042683,7.909018933,7.233071598,9.436131433,8.79218181,8.921546963,6.855189118,10.93118115,8.152971543,7.730400635,7.445540218,9.322023975,8.07995349,9.091693905,10.97705288,9.020192363,10.45709587,9.215378753,9.466924808,10.60848676,11.30080563,10.5371427,8.865050813,8.46179903
Goods Producing Industries,Victoria,14.92146873,16.56028825,21.29263845,16.73743515,16.8150206,16.91246898,19.52127513,16.751307,17.78377195,18.8329543,20.02996355,20.96544425,17.45468395,16.94221993,17.6388167,17.5478127,21.57637523,19.56244975,21.73479778,23.86188333,24.30761233,22.35403538,23.05758515,21.2925333,20.463532,22.0235897,21.07215588,21.52336295
Information and Cultural Industries,Victoria,2.67798931,2.749470835,3.754430748,2.799380138,3.080666825,1.997434085,2.24989237,2.762754448,2.786610165,2.716897843,3.256368078,2.368685158,3.377770368,3.462350413,3.658826165,4.2762435,3.05325393,3.927709883,3.562855325,2.864435803,3.727089155,3.244161728,3.224855235,2.738718473,2.724457618,2.405993313,2.446240355,2.535558543
Manufacturing,Victoria,7.059125528,5.387833875,6.586623415,6.023015548,5.741065205,5.301056505,7.25493279,5.89881716,6.468941393,6.30697872,7.452588833,8.26555712,6.216104408,6.12989109,6.251987355,6.936252258,8.50345008,7.922358768,7.730353438,7.378272708,6.729686275,5.969071403,6.27290179,5.458100485,5.93870691,7.048206835,5.799829518,7.069036998
Education and Healthcare,Victoria,24.95603643,24.86663203,26.25614248,28.19624823,27.99672958,30.34250325,30.47174925,30.546126,29.64338075,30.2183656,32.98862663,31.335899,33.83334795,32.79250083,31.66048498,31.3368787,33.42540395,32.5384775,33.3822069,37.7153195,40.50170713,37.0565319,40.4369346,42.9307466,38.5330868,43.1259294,42.33349728,40.82550445
Personal Services,Victoria,20.05623645,18.79936393,19.51533683,20.99136335,19.99009468,21.35589385,19.63861203,23.34062645,20.96775498,23.87449468,24.4454175,23.9192777,26.29433743,24.72848673,26.4674173,27.96510348,27.92543065,26.82567513,28.86781263,25.49827468,25.72087325,30.71995533,25.66681633,25.94731268,27.11350598,28.3296347,28.44586275,29.37565273
Primary and Utilities,Victoria,1.871196908,2.964487688,3.84375706,3.438339835,3.10785536,2.327625545,3.098375653,2.6792504,2.410883913,4.526638608,3.167652638,3.412449973,1.649617478,2.488534505,3.4072826,2.519192243,3.010371908,2.940528103,1.885913803,2.012603795,2.5156031,2.60381958,2.734380585,1.885949085,2.761560883,1.902737845,2.15374753,2.318181988
Public Administration and Defence,Victoria,17.0274862,15.51809595,16.97851953,19.0185147,18.29303723,20.04871955,19.70806218,19.60263238,21.17254115,21.00034573,21.026313,17.72345985,18.8734309,19.55273378,18.25647673,15.34207408,16.29793678,19.75692273,19.96965265,18.00301755,18.83433428,22.48605353,20.49961698,20.5211906,19.7382481,18.5346489,17.39869223,17.71612028
Services Producing Industries,Victoria,103.4617705,102.4998563,108.4224988,117.7661815,118.1649368,117.340442,118.1663043,127.630115,124.9179218,123.8624943,129.52007,125.982849,137.799165,138.1865453,133.3861833,138.4271873,138.0736245,142.6375505,148.090202,150.3131168,156.4173878,165.7459645,157.8674148,159.6824665,157.536468,159.70141,158.627844,153.401637
All Industries,Victoria,118.3832393,119.0601445,129.7151375,134.503617,134.9799575,134.2529108,137.6875795,144.381422,142.7016935,142.6954485,149.5500333,146.948293,155.2538488,155.1287653,151.025,155.975,159.65,162.2,169.825,174.1750003,180.725,188.0999998,180.925,180.975,178,181.725,179.6999998,174.9249998
Transportation and Warehousing,Victoria,4.813345355,5.060734285,6.22809899,6.583480698,5.765312245,4.411332535,5.027300923,5.979171853,5.045195775,5.096316933,4.310596388,5.008567533,6.17744362,6.411647433,5.78496983,5.943041075,6.248907568,7.163318618,5.894272503,6.609460695,6.58169923,7.34359123,6.558708553,6.432167008,6.578079638,5.956382623,6.177244725,7.572510798
Wholesale and Retail Trade,Victoria,18.32611008,17.6371484,17.85246695,20.16019128,22.78279205,20.29650865,22.3888508,23.9794987,21.34114978,20.9830828,22.29215098,19.8948269,23.00958075,24.67904078,21.93964673,26.40412453,24.43352295,24.94367183,25.7670906,28.82750413,29.10601425,30.787646,29.09012748,26.63383103,27.019067,25.90306923,26.96208183,24.0734268
Business Services,Winnipeg,17.92009035,19.51837685,20.46940305,22.32911555,20.40199698,20.55571513,21.52464345,22.51897965,25.65416795,26.252456,30.79802693,32.54907913,30.43982865,32.17984398,31.63046788,35.7301167,36.27661575,36.3755734,35.47984918,33.44944968,34.25196063,37.0025708,36.61408068,36.7106529,31.8564785,36.06604523,36.42567823,31.98791353
Construction,Winnipeg,19.62364693,15.27475863,15.18031693,14.1713958,12.97826555,14.01308565,13.82367503,15.76461565,14.56199608,14.97748333,14.63788638,16.31494608,18.73247803,17.72029353,16.05918195,15.80477795,16.47798368,18.03074905,18.19407925,17.96380103,19.83088443,23.65354823,23.71800085,23.8091802,26.77193268,27.66638703,27.31331698,25.40997568
"Finance, Insurance and Real Estate",Winnipeg,24.48036943,23.93833823,23.81340808,24.24395018,24.83948268,23.50830083,21.8804247,22.92129963,23.66777138,21.06884695,21.26517478,21.54269708,23.5999688,23.06911233,23.68357393,23.37203443,22.91688985,22.92643555,26.02675018,25.14578368,26.9474612,27.99319208,27.18727855,26.53469033,27.16300553,26.06470785,25.3647975,25.52962595
Goods Producing Industries,Winnipeg,70.52763648,69.76558038,70.93408528,63.87634703,61.0479869,59.88230218,59.8422622,61.37420945,62.197396,64.99963018,66.1210186,71.6670745,74.7501245,76.37481828,74.76594623,75.11545323,71.90671443,74.06577733,70.92592945,71.3114909,75.02144865,76.38409165,70.83620655,69.12364913,71.37846723,75.03970565,77.9180608,77.43509938
Information and Cultural Industries,Winnipeg,9.133227598,9.263084968,9.746922285,9.26902087,9.443394548,7.590525488,6.97493807,7.961717538,9.174373075,8.756655883,7.661255473,7.548762255,7.175793803,8.871073965,7.531307608,9.309209255,7.759731613,9.388813463,10.60647705,8.957112935,9.498065993,9.062495258,8.684067678,8.021438635,8.46487699,9.72352527,9.131184535,7.34380941
